1. create	[動] ～を創り出す ～を引き起こす
122. perform	[動] 行う 演じる、演奏する
123. prefer	[動] ～のほうを好む
124. determine	[動] ～を決定する ～を正確に知る
125. treat	[動] ～を扱う ～を治療する
126. prove	[動] ～を証明する 判明する、わかる
127. apply	[動] ～を適用する 申し込む、適用される
128. mention	[動] ～を言及する ～と言う
129. communicate	[動] 情報交換する ～を伝達する
130. contain	[動] ～を含む ～を収容する、感情などを抑える
131. contact	[動] ～と連絡を取る 接触する
132. regard	[動] ～を見なす ～を見る、～を評価する
133. respect	[動] ～を尊敬する ～を尊重する
134. search	[動] 捜す ～を捜索する、～を詳しく調べる
135. connect	[動] ～をつなぐ ～を関連付ける
136. decline	[動] 減少する 衰退する、～を断る
137. prevent	[動] ～を妨げる ～を防ぐ
138. suffer	[動] 苦しむ 患う、苦痛などを経験する
139. survive	[動] ～を切り抜けて生き残る より長生きする、生き延びる
140. publish	[動] ～を出版する ～を公表する
141. opportunity	[名] 機会
142. task	[名] 仕事、作業 課題、タスク
143. industry	[名] 産業 勤勉
144. medium	[名] 情報伝達の媒体 手段
145. economy	[名] 経済 経済圏、節約
146. policy	[名] 政策、方針 個人の主義
147. account	[名] 説明 勘定、口座
148. trade	[名] 貿易 商売、取引
149. model	[名] 規範 モデル、模型、型
150. figure	[名] 数字 姿、人物、図表
151. cell	[名] 細胞 独房、電池
152. image	[名] 印象、イメージ 画像、像
153. emotion	[名] 感情、情動 感動
154. stress	[名] ストレス 圧力、強調
155. decade	[名] １０年間
156. range	[名] 範囲 射程距離、同類の組
157. character	[名] 性格、個性 特徴、登場人物、文字
158. advantage	[名] 利点 優勢、有利
159. phrase	[名] 句 成句、言葉遣い
160. damage	[名] 損害、損傷 損害賠償金
161. impact	[名] 影響 衝突、衝撃
162. method	[名] 方法 体系、秩序
163. resource	[名] 資源 資金、才覚
164. region	[名] 地域 領域、部位
165. medicine	[名] 薬 医学
166. detail	[名] 詳細、細部
167. feature	[名] 特徴 顔つき、特集記事
168. function	[名] 機能 関数
169. access	[名] 利用、入手 接近
170. item	[名] 品物、項目 短い記事
171. income	[名] 収入 所得
172. attitude	[名] 態度 考え方、心構え
173. site	[名] 用地 場所、跡地、ウェブサイト
174. aspect	[名] 側面 観点、様相
175. structure	[名] 構造 体系、構造物
176. habit	[名] 習慣、癖
177. link	[名] 関連、つながり 交通手段、リンク
178. instance	[名] 例、実例 場合
179. positive	[形] 肯定的な 積極的な、確信して、陽性の
180. negative	[形] 否定的な 消極的な、陰性の
181. complex	[形] 複雑な 複合の
182. current	[形] 現在の 現代の、流用している
183. mental	[形] 精神の 知能の、頭の中で行う
184. specific	[形] 特定の 明確な、具体的な、特有の
185. significant	[形] 重要な、重大な 意義深い
186. essential	[形] 必要不可欠な 本質的な
187. official	[形] 公用の 公式の、役所の
188. financial	[形] 財政の 財界の
189. academic	[形] 学問の 大学の
190. aware	[形] 気付いて、知って
191. worth	[形] ～に値する ～の価値がある
192. potential	[形] 潜在的な 可能性を秘めた
193. active	[形] 積極的な 活動的な、効力のある
194. digital	[形] デジタル方式の デジタル表示の
195. mobile	[形] 可動式の 流動性のある
196. novel	[形] 斬新な、目新しい
197. plastic	[形] 柔軟な プラスチックの、ビニールの
198. chemical	[形] 化学の、化学的な
199. necessary	[形] 必要な
200. eventually	[副] 結局、結局は
201. identify	[動] ～を特定する ～を同一視する
202. represent	[動] ～を表す ～を代表する、～に相当する
203. indicate	[動] ～を指し示す ～を述べる
204. manage	[動] ～をなんとか成し遂げる ～を管理する
205. attend	[動] ～に出席する 世話する、～に対処する
206. maintain	[動] ～を維持する ～と主張する、～を養う
207. survey	[動] ～を調査する ～をじろじろ見る、～を概観する
208. replace	[動] ～にとって代わる ～を取り替える
209. sort	[動] ～を分類する ～をえり分ける
210. conduct	[動] （調査・実験など）を実施する ～を導く
211. associate	[動] ～を結び付けて考える ～と交際する
212. attempt	[動] ～を試みる、企てる
213. promote	[動] ～を促進する 昇進する
214. earn	[動] ～を稼ぐ ～を得る、もたらす
215. unite	[動] ～を団結させる 結合する、団結する
216. feed	[動] ～に食べ物を与える ～を供給する
217. seek	[動] ～を追い求める ～を要請する
218. observe	[動] ～に気付く ～を観察する、～を遵守する
219. reveal	[動] ～を明らかにする ～を見せる
220. estimate	[動] ～と推定する ～を見積もる、～を評価する
221. reflect	[動] ～を反映する 反射する、熟考する
222. attract	[動] ～を引き付ける
223. decrease	[動] 減少する ～を減らす
224. ignore	[動] ～を無視する
225. match	[動] 合う ～に匹敵する、一致する
226. define	[動] ～を定義する ～を明確にする
227. adapt	[動] 適応する 適合させる
228. contribute	[動] 貢献する、一因となる 寄付する、寄稿する
229. exchange	[動] 交換する 両替する
230. display	[動] ～を示す ～を発揮する、～を展示する
231. respond	[動] 反応する 答える
232. hide	[動] ～を隠す 隠れる
233. doubt	[動] ではないと思う ～を疑う
234. remove	[動] ～を取り除く ～を解雇する
235. wind	[動] （ねじなど）を巻く （道などが）曲がりくねる、巻きつく
236. assume	[動] ～を当然のことと思う、～と仮定する ～を手に入れる、～を引き受ける
237. relax	[動] くつろぐ 緩む、くつろがせる、緩める
238. satisfy	[動] ～を満足させる 条件などを満たす
239. desire	[動] ～を強く望む
240. succeed	[動] 成功する 継承する
241. concept	[名] 概念 考え、コンセプト
242. fashion	[名] 流行、ファッション 方法、流儀
243. device	[名] 装置、機器 方策、デバイス
244. charge	[名] 料金 世話、管理、告発
245. contrast	[名] 対照
246. colleague	[名] 同僚
247. pain	[名] 苦痛、痛み 苦悩、骨折り
248. bill	[名] 請求書 勘定書、法案
249. content	[名] 中身、内容 コンテンツ
250. section	[名] 部門 部分、地区、欄
251. audience	[名] 聴衆、観客 視聴者
252. surface	[名] 表面 外見
253. crop	[名] 作物 収穫高
254. topic	[名] 話題、トピック 主題
255. technique	[名] 技術 技巧、手法
256. status	[名] 地位 状態
257. option	[名] 選択 選択肢
258. reward	[名] 報酬 報い
259. race	[名] 人種 民族、競争
260. crime	[名] 罪、犯罪 違法行為
261. conflict	[名] 争い 論争、不一致
262. struggle	[名] 闘い 懸命の努力
263. context	[名] 状況 背景、文脈
264. debate	[名] 討論、論争 討論会
265. fuel	[名] 燃料 勢いを増加させるもの
266. pollution	[名] 汚染、公害
267. trend	[名] 傾向 流行
268. balance	[名] 均衡、バランス 体の平衡、残高
269. traffic	[名] 交通 通行、交通量、不正取引
270. strategy	[名] 戦略
271. basis	[名] 基礎 根拠、基準
272. consequence	[名] 結果 重大性
273. aim	[名] 目標、目的 狙い
274. ancestor	[名] 祖先 原型
275. gene	[名] 遺伝子
276. track	[名] 跡 軌道、鉄道の番線、走路
277. revolution	[名] 革命 回転、天体の公転
278. progress	[名] 進歩 前進
279. cognitive	[形] 認知の
280. ideal	[形] 理想的な 観念的な
281. efficient	[形] 効率的な 有能な
282. universal	[形] 普遍的な 宇宙の、万能の
283. vast	[形] 莫大な 広大な
284. extra	[形] 追加の、余分の 別勘定の
285. entire	[形] 全部の、全体の 完全な
286. familiar	[形] 精通している よく知られている
287. obvious	[形] 明らかな
288. moral	[形] 道徳の、倫理的な 道徳的な
289. ordinary	[形] 一般の、ふつうの 並みの
290. equal	[形] 等しい 匹敵する、平等な
291. previous	[形] 以前の、前の
292. false	[形] 間違った 虚偽の、偽の
293. rare	[形] まれな、珍しい 希少な
294. legal	[形] 法律の 合法の
295. independent	[形] 独立した
296. extreme	[形] 極端な 極度の、過激な
297. actual	[形] 実際の、現実の
298. willing	[形] いとわない、かまわないと思う
299. urban	[形] 都市の 都会的な
300. whereas	[接] ～するのに対し、～する一方
301. predict	[動] ～を予言、予測する
302. examine	[動] ～を調べる ～を診察する、～を尋問する
303. trust	[動] ～を信頼する ～を託す
304. stick	[動] ～を動けなくする ～を突き刺す、～にくっつく
305. emerge	[動] 現れる 明らかになる、台頭する
306. vary	[動] さまざまである 変わる、～を変える
307. release	[動] ～を放出する ～を開放する、～を発表する
308. divide	[動] ～を分ける 分かれる
309. enable	[動] ～できるようにする ～を可能にする
310. judge	[動] 判断する ～に判決を下す
311. rely	[動] 頼る
312. engage	[動] ～を従事させる ～を雇う、～に従事する
313. shift	[動] ～を変える、移す 変わる、移動する
314. adopt	[動] ～を採用する 態度などをとる、～を養子にする
315. acquire	[動] ～を得る ～を習得する
316. expand	[動] 拡大する 詳説する
317. refuse	[動] ～を拒む ～を断る、拒絶する
318. strike	[動] ～の心を打つ ～を襲う、～を打つ、ぶつかる
319. repeat	[動] 繰り返す ～を復唱する
320. consume	[動] ～を消費する ～を食べる、～を飲む
321. confuse	[動] ～を混同する ～を当惑させる
322. select	[動] ～を選ぶ、～を選り抜く
323. evolve	[動] 徐々に発展する 進化する
324. convince	[動] ～を納得させる
325. recall	[動] ～を思い出す ～を呼び戻す
326. destroy	[動] ～を破壊する ～を破滅させる
327. preserve	[動] ～を保存する ～を保持する、～を保護する
328. organize	[動] ～を準備する ～を組織する
329. warn	[動] ～に警告する
330. address	[動] （問題などに）対処する ～に演説する、～宛てに出す
331. operate	[動] ～を操作する 機能する、手術する
332. participate	[動] 参加する
333. surround	[動] ～を取り巻く ～にまつわる
334. flow	[動] 流れる 生じる
335. bore	[動] 退屈させる、うんざりさせる
336. complain	[動] 不平を言う 訴える
337. host	[動] ～を主催する ～のホスト役を務める
338. combine	[動] ～を結び付ける ～と結びつく
339. extend	[動] ～を伸ばす、～を延ばす 伸びる、及ぶ
340. appreciate	[動] ～を正当に評価する ～を鑑賞する、～を感謝する
341. target	[名] 目的 的
342. element	[名] 要素、成分 元素
343. principle	[名] 原理、原則 主義、信条
344. phenomenon	[名] 現象
345. atmosphere	[名] 大気 雰囲気
346. origin	[名] 起源 源
347. personally	[名] 個性、性格
348. capacity	[名] 容量、収容能力 潜在能力
349. profit	[名] 利益 収益、得
350. circumstance	[名] 状況、事情 境遇
351. manner	[名] 作法 方法、物腰
352. threat	[名] 脅威 悪い兆し、脅迫
353. resident	[名] 居住者 滞在者
354. wealth	[名] 富 資源、富裕
355. institution	[名] 機関 協会、施設、制度
356. authority	[名] 当局 権威、権限
357. vote	[名] 投票 投票結果、選挙権
358. sight	[名] 光景 名所、見えること、視野、視力
359. campaign	[名] 運動 軍事行動
360. fund	[名] 基金、資金
361. web	[名] ウェブ 蜘蛛の巣
362. symbol	[名] 象徴、シンボル 記号、標章
363. analysis	[名] 分析
364. version	[名] 本などの版 解釈
365. perspective	[名] 観点、見方 大局観、遠近法
366. crisis	[名] 危機
367. disaster	[名] 災害 惨事
368. lecture	[名] 講義、講演 説教
369. psychology	[名] 心理学 心理
370. gender	[名] 性、性別
371. custom	[名] 慣習 税関、関税
372. court	[名] 裁判所、法廷 裁判、宮廷、中庭
373. desert	[名] 砂漠 不毛の地
374. soil	[名] 土地、土壌 温床
375. agriculture	[名] 農業 農学、畜産
376. fossil	[名] 化石 時代遅れの人
377. document	[名] 文書、書類 記事、資料
378. vocabulary	[名] 語彙
379. intelligent	[形] 聡明な 知能を有する
380. conscious	[形] 意識して、気付いて
381. capable	[形] 能力がある 有能な
382. accurate	[形] 正確な 精密な
383. fundamental	[形] 基本的な 必須の
384. artificial	[形] 人工の 不自然な
385. firm	[形] 確固たる 堅固な、安定した
386. overall	[形] 総合的な 全体的な
387. rural	[形] 田舎の、田園の
388. military	[形] 軍の、軍事用の
389. nuclear	[形] 核の、原子力の
390. biological	[形] 生物学の
391. constant	[形] 絶え間ない 一定の
392. severe	[形] 厳しい 猛烈な
393. visual	[形] 視覚の 目に見える
394. enormous	[形] 莫大な 巨大な
395. convenient	[形] 便利な、都合のいい
396. domestic	[形] 家庭の 国内の、動物が飼いならされた
397. mass	[形] 大規模な、大量の 大衆の
398. typical	[形] 典型的な ～に特有の
399. overseas	[副] 海外へ
400. nevertheless	[副] それにもかかわらず
401. demonstrate	［動］ ～を論証する デモをする
402. behave	［動］ ふるまう 作動する
403. educate	［動］ ～を教育する ～に教える、～を養う
404. purchase	［動］ ～を購入する
405. recommend	［動］ ～を勧める
406. admit	［動］ ～をしぶしぶ認める ～の入場・入学などを認める
407. generate	［動］ ～を生み出す ～を発生させる
408. explore	［動］ ～を調査、探求する ～を探検する
409. amaze	［動］ ～をびっくりさせる
410. tear	［動］ ～を引き裂く 裂ける
411. settle	［動］ ～を解決する 移り住む、～を落ち着かせる
412. afford	［動］ ～を持つ余裕がある ～を与える
413. conclude	［動］ ～と結論付ける ～を締めくくる、～を締結する
414. advertise	［動］ ～を宣伝する 広告を出す
415. encounter	［動］ ～に遭遇する ～に出会う
416. remind	［動］ ～に思い出させる
417. locate	［動］ 位置する ～の位置を探し当てる
418. aid	［動］ ～を援助する、助ける
419. bite	［動］ かむ、かみつく 刺す
420. deliver	［動］ ～を配達する （演説・講義）をする、子を産む
421. perceive	［動］ ～に気付く ～を知覚する、～を理解する
422. distinguish	［動］ ～を区別する
423. imply	［動］ ～を暗に意味する ～を必然的に伴う
424. handle	［動］ ～を処理する、～を扱う
425. praise	［動］ ～を賞賛する 賛美する
426. appeal	［動］ 訴える 抗議する、上訴する
427. insist	［動］ 強く主張する 要求する
428. compete	［動］ 競う 匹敵する
429. rank	［動］ ～を位置づける、評価する ～に位置する
430. deny	［動］ ～を否定する ～を拒む
431. reject	［動］ ～を拒否する
432. intend	［動］ ～を意図する
433. expose	［動］ ～をさらす ～を暴露する、～を露出する
434. favor	［動］ ～に賛成する ～を好む、～をひいきする
435. inspire	［動］ ～を奮起させる ～を喚起する
436. propose	［動］ ～を提案する ～をもくろむ、結婚を申し込む
437. spell	［動］ 語をつづる ～という語になる
438. breathe	［動］ 呼吸する ～を吸う
439. repair	［動］ ～を修理する ～を修復する
440. consist	［動］ ～から成る ～にある
441. comment	［名］ 意見、コメント 批判
442. instruction	［名］ 指示 使用書
443. religion	［名］ 宗教 信条、信仰心
444. neighborhood	［名］ 地域 近所
445. laboratory	［名］ 実験室、研究室
446. presence	［名］ 存在 出席、面前
447. confidence	［名］ 自信 信頼、秘密
448. harm	［名］ 害、損害
449. instrument	［名］ 器具 楽器
450. category	［名］ 部類、区分 範疇
451. capital	［名］ 資本 首都、大文字
452. outcome	［名］ 結果 成果
453. notion	［名］ 概念、観念 見解、意向
454. review	［名］ 論評 再調査、復習
455. trait	［名］ 特性
456. diversity	［名］ 多様性 相違点
457. victim	［名］ 犠牲、被害者
458. occasion	［名］ 場合、時 行事、機会
459. facility	［名］ 施設、設備 機能、才能
460. stock	［名］ 在庫品 蓄え、株
461. conference	［名］ 会議 協議
462. humanity	［名］ 人類 人間性、人情、人文科学
463. dialect	［名］ 方言
464. proportion	［名］ 割合 部分、つり合い
465. tip	［名］ 助言、秘訣 チップ、先端
466. lawyer	［名］ 弁護士
467. stuff	［名］ 物 素材、素質
468. comfort	［名］ 快適さ 慰め
469. philosophy	［名］ 哲学 原理、人生観
470. mammal	［名］ 哺乳動物
471. quantity	［名］ 量 分量
472. landscape	［名］ 風景 領域、状況
473. tribe	［名］ 部族 仲間
474. organ	［名］ 器官、臓器 組織、オルガン
475. trial	［名］ 試み、試験 裁判、試用期間
476. norm	［名］ 規範 標準
477. code	［名］ 規範 暗号、法典
478. substance	［名］ 物質 実態、趣旨
479. multiple	［形］ 多様な 種々雑多な
480. numerous	［形］ 非常に数の多い
481. narrow	［形］ 狭い 細い、限られた
482. widespread	［形］ 広範囲にわたる 広く普及した
483. sufficient	［形］ 十分な
484. proper	［形］ 適切な 正式の、主要な、固有の
485. linguistic	［形］ 言語の、言語学の
486. annual	［形］ 年１回の、例年の １年間の
487. contemporary	［形］ 現代の 同時代の、同年輩の
488. contrary	［形］ 反対の
489. strict	［形］ 厳しい 厳格な
490. civil	［形］ 市民の 民間の、民事の
491. odd	［形］ 奇妙な 奇数の
492. unknown	［形］ 不明の 知られていない、無名の
493. superior	［形］ よりすぐれた
494. sensitive	［形］ 敏感な 神経質な、微妙な
495. violent	［形］ 激しい 暴力的な
496. virtual	［形］ 仮想の 事実上の
497. regardless	［形］ かまわない、無頓着な
498. immediate	［形］ 即座の 当面の、すぐそばの、直接の
499. crucial	［形］ 重要な
500. somewhat	［副］ いくぶん、多少
501. interpret	［動］ ～を解釈する 通訳する
502. translate	［動］ ～を翻訳する ～を変える
503. concentrate	［動］ 集中する
504. request	［動］ ～に頼む ～を要請する
505. criticize	［動］ ～を批判する ～を批評する
506. overcome	［動］ ～を克服する
507. obtain	［動］ ～を得る
508. inform	［動］ ～に知らせる ～に情報を提供する
509. ensure	［動］ ～を確実にする ～を守る
510. announce	［動］ ～を発表する、知らせる ～を告げる
511. grant	［動］ （許可・権利などを）与える ～を認める
512. freeze	［動］ 凍る 凍らせる、～を凍結する
513. oppose	［動］ ～に反対する ～を対抗させる
514. differ	［動］ 異なる
515. hate	［動］ ～をひどく嫌う ～を残念に思う
516. emphasize	［動］ ～を強調する ～を重視する
517. employ	［動］ ～を雇う ～を使う
518. credit	［動］ （功績などを）～に帰する ～を信じる
519. transform	［動］ ～を変える 変わる
520. construct	［動］ ～を建設する ～を構成する
521. arise	［動］ 生じる
522. beat	［動］ ～を打ち負かす 打つ、たたく
523. regret	［動］ ～を後悔する
524. alter	［動］ ～を変える 変わる
525. absorb	［動］ ～を吸収する ～を併合する、～を夢中にさせる
526. disappoint	［動］ ～を失望させる 希望などをくじく
527. cure	［動］ ～を治す ～を取り除く、治る
528. transport	［動］ ～を輸送する ～を運ぶ
529. rush	［動］ 急いで行く 性急に行動する、～を急き立てる
530. hang	［動］ ～を掛ける ～を絞首刑にする、垂れる
531. blame	［動］ ～を責める ～の責任を負わせる
532. ban	［動］ ～を法的に禁止する ～を締め出す
533. fascinate	［動］ ～を魅了する
534. recover	［動］ 回復する ～を取り戻す
535. celebrate	［動］ ～を祝う ～を挙行する
536. manufacture	［動］ ～を製造する ～をでっちあげる
537. interact	［動］ 影響しあう 相互に作用する
538. arrange	［動］ ～の段取りをつける ～を手配する、～を配置する
539. adjust	［動］ ～を調整する ～を適合させる、順応する
540. confirm	［動］ ～を確認する ～を裏付ける
541. insight	［名］ 見識、理解 洞察力
542. innovation	［名］ 革新 新機軸
543. budget	［名］ 予算 経費
544. fee	［名］ 料金 謝礼
545. expense	［名］ 経費 費用、犠牲
546. debt	［名］ 借金、負債 恩義
547. loan	［名］ 貸付金、融資 貸すこと
548. duty	［名］ 義務 職務、関税
549. alarm	［名］ 不安、おそれ 警報装置
550. emergency	［名］ 緊急
551. democracy	［名］ 民主主義、民主政治 民主国家
552. minister	［名］ 大臣 聖職者
553. fellow	［名］ 仲間、同僚 同級生、男
554. candidate	［名］ 候補 志願者
555. corporation	［名］ 企業 法人
556. stereotype	［名］ 固定観念 決まり文句
557. route	［名］ 道 路線、ルート、手段
558. disorder	［名］ 障害、不調 混乱
559. depression	［名］ 憂鬱 うつ病、不況、低気圧
560. weapon	［名］ 兵器、武器
561. immigration	［名］ 移民、移住 入国管理
562. barrier	［名］ 障壁 防壁
563. disadvantage	［名］ 不利 障害、損失
564. mood	［名］ 気分 機嫌、雰囲気
565. motion	［名］ 動き、動作 運動、動議
566. routine	［名］ 決まりきった仕事 いつもの手順
567. discipline	［名］ 規律、しつけ 訓練、懲戒、学問分野
568. myth	［名］ つくり話 神話
569. hypothesis	［名］ 仮説 憶測
570. physician	［名］ 医師 内科医
571. client	［名］ 顧客 依頼人
572. colony	［名］ 植民地 集団居住地
573. statistics	［名］ 統計 統計学
574. grain	［名］ 穀物 粒、きめ
575. ingredient	［名］ 材料、成分 要因
576. treasure	［名］ 宝物、財宝 財産
577. contract	［名］ 契約 協定
578. welfare	［名］ 福祉、幸福
579. prime	［形］ 主要な、もっとも重要な 最適な、極上の
580. curious	［形］ 好奇心の強い 奇妙な
581. dramatic	［形］ 劇的な 演劇の
582. distinct	［形］ 明らかに異なる 明瞭な
583. anxious	［形］ 心配して 切望して
584. vital	［形］ 必要不可欠な 活気のある、生命にかかわる
585. conventional	［形］ 従来の 月並みな
586. abstract	［形］ 抽象的な
587. minor	［形］ 重要でない 小さい
588. extraordinary	［形］ 並外れた 異常な、驚くべき
589. stable	［形］ 安定した
590. flexible	［形］ 融通のきく、柔軟な
591. brief	［形］ 簡潔な 短い
592. aggressive	［形］ 攻撃的な 意欲的な
593. visible	［形］ 目に見える 明白な
594. unexpected	［形］ 思いがけない、不意の
595. ethnic	［形］ 民族の、人種の 民族特有の
596. alien	［形］ 異質の 外国の、宇宙人の
597. initial	［形］ 初めの
598. exact	［形］ 正確な まさにその
599. precise	［形］ 正確な 精密な、まさにその
600. latter	［形］ 後者の、後半の
601. commit	[動] 献身する 罪などを犯す、～を投入する
602. stimulate	[動] ～を刺激する
603. enhance	[動] 価値などを高める、増す
604. pursue	[動] ～を追求する ～に従事する
605. react	[動] 反応する 化学反応を起こす
606. disagree	[動] 不賛成である 意見が食い違う
607. stare	[動] じっと見る ～を見つめる
608. abandon	[動] ～を捨てる ～を放棄する、断念する
609. quit	[動] ～をやめる ～を去る
610. capture	[動] ～をとらえる ～をとりこにする
611. transfer	[動] ～を移す ～を伝える、移る、乗り換える
612. bother	[動] ～を悩ます 気に掛ける
613. persuade	[動] ～を説得する ～に確信させる
614. rent	[動] ～を賃借りする ～を賃貸しする
615. breed	[動] ～を繁殖させる、育てる 繁殖する
616. invest	[動] 投資する ～に与える
617. reserve	[動] ～を予約する ～をとっておく、保留する
618. trace	[動] 足跡・起源などをたどる ～を捜しだす
619. illustrate	[動] ～を説明する ～に挿絵を入れる
620. advise	[動] ～に忠告（助言）する 助言する
621. convey	[動] ～を伝える ～を運ぶ、運搬する
622. attach	[動] ～を取り付ける 付与する
623. stretch	[動] ～を伸ばす ～を広げる、伸びる、及ぶ
624. puzzle	[動] ～を当惑させる
625. disturb	[動] ～をかき乱す ～を妨害する、～を動揺させる
626. crash	[動] 衝突する、墜落する ～をぶつけて壊す
627. cope	[動] うまく処理する
628. permit	[動] ～を許可する
629. impress	[動] ～を感動させる ～に印象を与える
630. suspect	[動] ではないかと思う ～を疑う
631. upset	[動] ～を動揺させる ～をだめにする
632. frighten	[動] ～を怖がらせる
633. import	[動] ～を輸入する ～を取り込む
634. export	[動] ～を輸出する
635. investigate	[動] ～を調査する ～を究明する、調査する
636. monitor	[動] ～を監視する ～を傍受する
637. calculate	[動] ～を計算する ～を予測する
638. eliminate	[動] ～を取り除く
639. ease	[動] ～を軽減する 和らぐ、緩む
640. launch	[動] ～を開始する ～を売り出す、～を発射する
641. sequence	[名] 連続 一連のもの
642. therapy	[名] 療法 心理療法
643. symptom	[名] 症状 兆候
644. incident	[名] 出来事、事件 紛争
645. witness	[名] 目撃者 証人、証拠、証言
646. sum	[名] 金額 合計、要点
647. burden	[名] 負担 重い義務、罪に
648. tone	[名] 口調 音色、雰囲気、色調
649. honor	[名] 光栄 名誉、敬意
650. award	[名] 賞 授与
651. priority	[名] 優先
652. logic	[名] 論理 道理、論理学
653. minimum	[名] 最少限度
