anyway	とにかく
emerging	新たに現れた、新興の
enroll	登録する、入会する、入学する
proficiency	熟達、スキルの高さ、高い能力
scenic	眺めがいい、景色の
state-of-the-art	最新式の、最先端の
cuisine	料理
acclaimed	絶賛されている
certified	有資格の、公認の
medication	薬
overview	概略、概況
resistant	耐えられる、抵抗力のある
superb	素晴らしい
array	大量、多数
informative	有益な
nationwide	全国的な；全国的に
outdated	時代遅れの
shareholder	株主
voucher	引き換え券
adjacent	隣接した
correspondence	(手紙やメールでの)やり取り
detergent	洗剤
duration	継続期間
functional	機能を果たせる、機能的な
hands-on	実地の、実用的な
intensive	集中的な
last-minute	土壇場の、間際になっての
thrilled	とてもわくわくして、とても興奮して
spectacular	壮観な、目を見張るほどの
entrepreneur	起業家
introductory	入門の、最初の、お試しの
minimize	最小限に抑える、最小化する
prestigious	権威のある、誉れ高い
screening	上映、検査
amenity	生活を便利に(楽しく)するもの
lengthy	長期にわたる、冗長な
compensate	補償する
misplace	紛失する、置き忘れる
notable	注目すべき、有名な
subsidiary	子会社
authentic	本物の
designated	指定された、指名された
disruption	混乱、妨げ
fragile	壊れやすい、はかない
ongoing	進行中の、続いている
periodical	定期刊行物
plumber	配管工
incur	(損失や罰金などを)受ける
oversee	監督する
retrieve	(PCから情報を)取り出す、取り戻す
reunion	同窓会、再会
rigorous	厳格な、厳密な
specification	仕様(書)
tentative	仮の
tutorial	指導書、個別指導
apprentice	見習い、実習生
bid	入札；入札する
discard	捨てる
outing	外出、お出かけ
overwhelmingly	圧倒的に
proceeds	収益
refrain	差し控える
inclement	荒れ模様の
novice	初心者
activate	使えるようにする、始動させる
anecdote	逸話
collaboration	協力、共同
commemorate	(記念日や人を)祝う、記念する
duplicate	複製の；複製；複製を取る
intermission	休憩時間
fertilizer	肥料
proofread	校正する
solicit	求める、懇願する
unveil	披露する、公表する
applicable	適用される、当てはまる
commend	ほめる
complement	合う、補完する
incentive	動機付け、やる気を起こさせるもの
incorporate	取り入れる、取り込む
lapse	失効する、うっかりミスをする；過失、時の経過
picturesque	絵のように美しい
prospective	見込みのある、将来の
simplify	簡素化する、単純にする
surpass	超える
surplus	余分な；余り
withstand	耐える
advocate	提唱者、支持者；提唱する
aspiring	〜志望の、〜になろうとする
assorted	詰め合わせの
credentials	資格、経歴、資質
interoffice	社内の、オフィス間の
malfunction	故障；故障する
mutually	互いに、相互に
periodically	定期的に
copyright	著作権
nutritious	栄養のある
obstruct	(通路や視界を)塞ぐ、遮る
abundant	豊富な、十分な
agreeable	快適な、(人が)フレンドリーな、合意可能な
compromise	妥協、妥協点；妥協する
continuous	途切れない、絶え間のない
dominant	支配的な、圧倒的な
exhausted	疲れ切った
fierce	熾烈な
prosperous	繁栄している、裕福な
quote	提示価格、引用；価格を提示する、引用する
reluctant	気乗りしない、渋っている
remedy	改善策、治療薬；改善する、治療する
solely	唯一、一人で、単独で
vital	不可欠な、非常に重要な
revitalize	再活性化する、復興する
commence	始まる
countless	数え切れないほどの、無数の
devise	考案する、立案する
execute	実行する
foster	促進する、養う
initiate	始める
insight	洞察、洞察力
misleading	誤解を招く恐れのある
precaution	予防策、予防措置
transparent	透明の
coincide	同時に起こる
concise	簡潔な
delegation	代表団、(権限などの)委譲
diagnosis	診断
enforce	施行する、実行する、強制する
hypothesis	仮説
predecessor	前任者、前機種
prominently	目立って、傑出して
adoption	採用
accelerate	加速させる、拍車をかける
adhere	(規則や法律などに)忠実に従う、接着する
allocate	割り当てる
appraisal	査定、評価
compile	取りまとめる、編集する
conform	(規則や周囲の状況などに)合わせる、一致する
constraint	制約
distraction	気を散らすもの、注意の妨げになるもの
facilitate	容易にする、促進する
integral	不可欠の
interact	交流する
persistence	粘り強さ
quota	ノルマ、割り当て
congested	渋滞した
deduct	控除する
embrace	積極的に受け入れる、快諾する
synthetic	合成の
terminate	終わらせる
detect	見つける、検知する
patiently	根気よく、我慢強く
ratio	比率
dietary	食事の
intentionally	意図的に
persuasive	説得力のある
subsequent	その次の、その後の
thoughtfully	深く考えて、思慮深く、配慮して
abridged	要約された、短縮された
carpool	相乗りする；相乗り
compatible	相性が良い、互換性がある、共存できる
endorse	推薦する、支持する、裏書きする
explicit	明白な、明確な
keenly	痛烈に、鋭く
plaque	盾
dilute	薄める
exempt	免除された；免除する
centerpiece	中心に置かれる装飾品、中心になるもの
oversight	見落とし、手落ち、監視
privileged	光栄な
recur	再発する
skeptical	懐疑的な、疑い深い
sustainable	持続可能な
artifact	(歴史的・文化的価値のある)工芸品、手工品
keynote	基調となる；基調
breathtaking	息をのむほどの、驚くべき
cubicle	個別の作業スペース
outage	機能停止期間、供給停止期間
perishable	傷みやすい、腐りやすい
avid	熱心な、熱烈な
detour	回り道；遠回りをする
expedite	早める、促進させる
vicinity	近所、近辺
affiliated	提携した、関連のある
definitive	決定版の、最終的な
demolish	(建物を)解体する、取り壊す
feasible	実現可能な
inaugural	最初の、初開催の
installment	分割払いの１回分
redeemable	(現金や商品と)交換可能な
streamline	合理化する、簡略化する
insulation	(音、熱、電気などを)防ぐこと
intact	傷がない
occupancy	(ホテルや部屋などの)占有、占有人数
turnover	離職率
unanimous	満場一致の
deteriorate	悪化する
sturdy	頑丈な、丈夫な
adverse	よくない、不利な
bearer	(小切手やクーポンなどの)持参人
unprecedented	前例のない
botanical	植物の、植物学の
commensurate	釣り合った、比例した、見合った
consecutive	連続した
deliberation	熟考
discreetly	分別を持って、思慮深く
entail	必要とする、〜を伴う
fluctuation	変動
foremost	最高の、トップの
imperative	急を要する、非常に重要な
mandatory	義務の、強制の
meticulously	細心の注意を払って、几帳面に
outreach	福祉活動、支援活動
tenure	在職期間
versatile	多才な
alleviate	和らげる、軽減する
exemplary	模範的な
gala	祝祭、祭り
mural	壁画
proprietor	オーナー、所有者
stagnant	停滞した
stringent	非常に厳しい
testimonial	推薦文、推薦の声
turnout	参加者数、来場者数
waive	(権利や条件を)放棄する、差し控える、適用しない
faucet	蛇口
amendment	改正、修正
anonymous	匿名の
fraud	詐欺
liable	法的責任がある
considerate	思いやりのある、配慮して
consolidate	統合する
vigorous	活気のある、精力的な
retreat	研修旅行
custodian	管理人、守衛
forge	築く、構築する
impending	間近に迫った、差し迫った
itemize	項目別にする
liaison	連絡係、連絡
objectionable	不快な、気に障る
repave	再舗装する
shortcoming	欠点、短所
viable	実行可能な
memorabilia	記念品、思い出の品
deplete	使い果たす、激減させる
jeopardy	危機、危険
nominal	ほんのわずかの
deviate	それる
forfeit	没収される、剥奪される；罰金、犠牲
bolster	強化する、補強する、鼓舞する
optimal	ベストの、最適な
purveyor	供給業者、販売業者
raffle	福引き
ventilation	換気、風通し
unwavering	揺るがぬ、断固とした
exponentially	加速度的に、指数関数的に
