かまける	あることだけにかかわって他のことをおざなりにすること
冗漫	表現に無駄が多くてしまりのないこと
造詣	ある学問記述において広く深い知識と理解をもっている
英知	優れた知恵
粋	日本美術の○○を集める
あらたか	神仏の利益 (りやく) が際立ってあるさま
暗躍	人に知られぬよう策動すし活躍すること
苛む(さいなむ)	苦しめ悩ます
訥弁(とつべん)	話し方がなめらかでないこと
ひょうひょう	考えや行動が世間ばなれしていて、つかまえどころのないさま。目的がなくふらふら
宥和	敵対意識を持っているけど、仲良くなること
流布	広く世間に行き渡る事
平凡	奇抜⇔
敷延(ふえん)	押し広げる事
居丈高(いたけだか)	人に対して威圧的な態度を取る様
照準	狙いを定める事
打診	相手の意向を確かめるために前もって様子を見る
一瞥(いちべつ)	ちらっと見る
識見	物事を正しく判断する能力
英気	すぐれた才気。多いに活動しようとする気力
天地無用	上下を逆にしてはならない
よんどころない	そうするより仕方ない
がめつい	金儲けに抜け目がない
あくどい	物事のやり方がどきつくて、たちが悪い
はためく	布や紙などが風邪に吹かれてはたはたと動く
明け透け	包み隠しのない事
山が見える	完成までの見通しがつく
疎む(うとむ)	嫌だと思う。嫌って遠ざける。
器量	あることをするのにふさわしい能力や仁徳。顔立ち。
不埒(ふらち)	道理に外れていてけしからぬこと
細事	ちょっとしたこと。つまらないこと
明細	細かい点まで詳しく、はっきりしていること
精細	きわめて詳しいこと
委曲	物事の詳しい事情
宿願	かねてからの願い
論駁	相手の論や説の誤りを攻撃すること
おざなり	いいかげんに物事をすませること
踏襲	前人のやり方などそのまま受け継ぐ事
甚大	きわめて程度の大きい様
符合	二つ以上の事柄がぴったりと照合・対応すること
猜疑(さいぎ)	ねたみうたがうこと
おもむろに	慌てずゆっくりことを始める
拮抗	どんぐりの背比べ的な
失地	奪われた土地
おもねる	気に入られようと媚をうる
さもしい	意地汚い
歴々	はっきりとしている様
はえぬき	その地でうまれてずっとそこで育った人
さかしら	いかにもりこうそうな様
やおら	ゆっくりと動作を起こす
かいがいしい	動作などがいかにも手際よく、きびきびしている様
やにわに	急に・ゆっくりと
どうあく	性質が荒っぽくて乱暴。
伝播	次々に広まる事
遺憾	期待したようにならず、心残りである。残念に思う。
励行	決めた事、決められた事をその通りに実行すること
弛緩(しかん)	緊張⇔
独自性	類似性⇔
即妙	即座の機知。頓才。
博覧	広く一般の人々が見る事
展覧	芸術品などをならべてひろげてみせる
ふつつか	能力・しつけが足りず行き届かない事
堅持	墨守=
催促	督促＝
出色	抜群＝
委細	機略⇔
謹慎	謹厳⇔
詮議(せんぎ)	話し合いながら物事を明らかにする事
たぶらかす	だまして惑わす
奉職	公の職に就く事
凝集	一箇所に集まる事
収斂(しゅうれん)	縮む事
邪険	意地が悪く人に対して思いやりがない様
断行	反対を押し切って強い姿勢で行う
刮目(かつもく)	目をこすってよく見る事。注意すること
消長	衰えたり盛んになったりする事
桎梏(しっこく)	手かせ足かせ。自由を束縛するもの
薫陶(くんとう)	人徳・品位などで人を感化し，よい方に導くこと
涵養(かんよう)	無理をしないでゆっくり養育すること
失念	うっかり忘れる事
浅薄(せんぱく)	考えや知識が浅く行き届いていない事
粗忽(そこつ)	軽はずみな事。
浅慮	浅はかな考え
軽妙	さっぱりしていて俗気のないこと
罵る	悪口をいう
謗る(そしる)	非難する
依拠	よりどころ
功名	殊勲=
頑迷	偏屈=
漂泊	流浪=
つましい	質素=
寛容	狭量⇔
饒舌(じょうぜつ)	寡黙(かもく)⇔
横柄	謙虚⇔
末端	中枢⇔
膠着(こうちゃく)	状況が固定して進まない事
寡聞(かぶん)	知識が不十分であること
嫉む(そねむ)	人の幸せに嫉妬する
在野	公職就かず民間でいること
反駁	他人の批判に対して反論
反目	相手に敵意を持ってにらみ合う事
敵視	相手に敵意を持って睨みつける事
失笑	思わずわらってしまうこと
つまびらか	物事の細かい所まではっきりしているさま
言外	直接は言葉に出さないこと
識見	ものごとに対する正しい判断
決裁	上の物が部下の案の可否を決める事
峻別	厳しく区別すること
秘匿	自分のやっている事をこっそりと隠す事
潤沢	ものがたくさんある
ひるむ	相手の勢いに圧倒されて〜〜
資する	あるものごとを行うのに役立つ
弥縫(びほう)	失敗や欠点を取り繕うこと
尾生の信	固く約束を守る事
委細	概略⇔
手をこまねく	黙って防寒してる事
狭量	寛容⇔
閉口	今日の暑さには○○する
際限	ぜいたくを言えば○○がない
思索	生きる意味を○○する
そらんずる	何も見ずに文章などを言えるように覚える事
捻出	出そうもない所から無理して出す事
度外視	全く問題にしない事
拘泥する	気にしてこだわる
斡旋	間に入って両者をうまくとりもつ
率直	婉曲⇔
利発	頭が良くて賢い事
粗悪	質の悪い
展覧	広く一般の人に見せる事
収束	拡散⇔
齟齬	物事が食い違って意図した通りに進まない事
巧妙	稚拙⇔
栄達	零落⇔
腐心	苦心＝
自慢	卑下⇔
頑丈	壮健＝
工面	算段＝
悠長	動作や態度などが落ち着いていて気の長い事
慇懃(いんぎん)	丁寧
悔悟	かいご、自分が悪かったことを認めて後悔すること
拘泥	こうでい、こだわること
耽溺	たんでき、夢中になること
逡巡	ぐずぐずためらうこと。しりごみすること。
証左	証拠
言下	言い終わった直後
伍する	肩を並べる
弁駁	べんばく、他人の誤りを付いて、論じ、攻撃すること
射幸	偶然の利益や成功をあてにすること
投機	利益や幸運を得ようとしてする行為のこと
無為	自然のままで手を加えないこと。
何もしないでいること。
蚕食	さんしょく。カイコが桑の葉を食うように片っ端から他の領域を侵略すること
拱手傍観	何もしないで見ていること
卓見	優れた意見。見識。
目算	もくろみ、計画、見込み
相貌	顔のありさま、物事の様子
時局	その時の世の中の状態
奔流	激しい勢いの流れ
胸算用	心で見積もりを立てること
幇間	ほうかん、太鼓持ち、人にへつらって気に入られようとする人
あまつさえ	そのうえに、おまけに。
蜿蜒	えんえん、うねうねと長く続くさま、蜿蜒と続く山脈
滔々	とうとう、水がよどみなく流れるさま
濛々	煙や誇りが立ち込めるさま。
うとんする	嫌ってよそよそしくする
忌憚ない	遠慮がない
抜き差しならぬ	どうしようもできない
皮算用	まだ実現していないことをあてにしてあれこれ計画を立てること
目論見	計画、企て、もくろむこと
幇間	人にへつらって気に入られようとするもの
あながち	必ずしも
あまつさえ	そのうえに、おまけに。
いみじくも	非常に巧みに。適切に
さしずめ	落ち着くところは。つまるところ。さしあたり。
はなはだ	大変。非常に。
煌々	光り輝く様
滔々	水がよどみなく流れる様
朦朦	煙やホコリが立ち込める様
そらんずる	覚えたことを見ないでそのまま言う
さえずる	小鳥がしきりに鳴く
うとんずる	嫌ってよそよそしくする
あんずる	考えをめぐらす
抜き差しならない	身動きがとれない。どうにもならない。
忌憚ない	遠慮がない
