Let's try 【anyway】.	【とにかく】やってみよう。
The project is in 【progress】.	プロジェクトが【進行】中だ。
I had an 【opportunity】 to see Tex.	テックスに会う【機会】があった。
at the time of 【purchase】	【購入】時
【decline】 to respond	返事するのを【断る】
【sufficient】 time	【十分な】時間
【determine】 how to sell the product	製品の売り方を【決定する】
【participate】 in the seminar	セミナーに【参加する】
Mobile phones are 【gradually】 replacing computers.	携帯電話が【徐々に】コンピューターに取って代わっている
【establish】 a business	会社を【設立する】
Please read all the 【instructions】	【説明書】をすべてお読みください。
attention to 【detail】	【細部】にわたる注意
【properly】 trained staff	【きちんと】訓練されたスタッフ
Tex's 【attempt】 to become a singer.	歌手になろうとするテックスの【試み】
a 【property】 manager	【物件】の管理人
the 【border】 between California and Arizona	カリフォルニアとアリゾナの【境】
【influence】 the decision	結論に【影響を与える】
a strong 【presence】 in the area	地域での強い【存在感】
Tex was 【seldom】 seen in public.	テックスは【めったに】公に姿を見せ【なかった】
【aim】 to cut energy use	エネルギーの使用を減らすことを【目指す】
【somewhat】 more expensive than I expenced	私が予想していたより【いくぶん】値段が高い
teachers and students 【alike】	教師も生徒も【同様に】
【evidence】 of payment	支払いの【証拠】
the 【savings】 rate	【貯蓄】率
Tex 【represented】 the company at the event	テックスはイベントで会社の【代表と務めた】
the 【entire】 staff	【全】スタッフ
a popular 【architect】	【人気の】建築家
【publish】 a magazine	雑誌を【出版する】
a scientific 【journal】	科学の【専門誌】
【imports】 from china	中国から【輸入品】
a Seattle 【based】 firm	シアトルに【拠点を置く】会社
the 【packaging】 area	【梱包】エリア
a wide 【range】 of service	広【範囲】のサービス
What is【imply】 about the hotel?	ホテルについて何が【ほのめかされて】いますか。
What can be【infer】red from the letter?	手紙から何が【推察できます】か。
What is 【stated】 about the hotel?	ホテルについて何が【述べられています】か。
Who is the 【intended】 audience?	【対象としている】聞き手は誰ですか。
a 【commuter】 train	【通勤者】が乗る電車（通勤電車）
an empty 【warehouse】	空の【倉庫】
a car 【manufacturer】	自動車【メーカー】
We are 【delighted 】to see you	お会いできてとても【嬉しい】です。
the 【method】 of payment	【支払い】方法
certainly different form the 【traditional】 styles	【伝統的な】スタイルとは確かに異なる
【efficient】 use of energy	エネルギーの【効率的な】使用
【avoid】 wasting time	時間の無駄遣いを【避ける】
bank 【balance】	銀行の【残高】
Can I 【exchange】 this for a larger size?	これをもっと大きなサイズと【交換】できますか。
the 【search】 for the next president	次の社長【探し】
a 【specific】exchange	【具体的な】例
the grand opening 【celebration】	グランドオープンの【お祝い】
celebrate the twentieth 【anniversary】	20【周年】を祝う
a 【rent】 increase	【家賃】の値上げ
Tex won; 【therefore】, he is happy.	テックスは勝った。【従って】、彼はハッピーだ。
Tex is poor. 【Nevertheless】, he is happy.	テックスは貧しい。【それにもかかわらず】、彼はハッピーだ。
The book is 【accompanied】 by a CD.	その本にはCDが【付いてきます】。
【Complaints】 about the noise	騒音についての【苦情】
【maintain】 a Web site	ホームページを【維持】管理する
express 【concern】	【懸念】を表す
Our products are 【recognized】 for their quality.	当社の製品は品質の高さで【認められて】います。
【various】 designs and patterns	【さまざまな】デザインや柄
Thank you for your 【assistance】	ご【支援】ありがとうございます。
Tex 【tr（）ansfer】red to Mexico City.	テックスはメキシコ市に【転勤した】。
【process】an order	注文を【処理する】
【approve】a plan	計画を【承認する】
make 【suggestion】s	【提案】を行う
【committee】 members	【委員会】のメンバー
a negative 【impact】	ネガティブな【影響】
Please 【direct】 any questions to Tex.	質問はテックスの【の方にして】下さい。
write a 【memorandum】	【社内文書】を書く
50% of the 【workforce】	【全従業員】の50%
the time of 【arrival】	【到着】時刻
Tex was 【rewarded】 with a bonus.	テックスはボーナスで【報いられた】。
【store】 food in a refrigerator	冷蔵庫に食べ物を【保存する】
a 【casual】 reader	【時折】本を読む人
a 【complex】 system	【複雑な】システム
The city 【boast】s two famous museums.	市は2つの有名な美術館を【誇る】
【loyal】 cystiners	【常連の】顧客
a 【large-scale】 project	【大規模な】プロジェクト
the 【permanent】collection	【常設の】展示物
a common 【practice】	当たり前の【習慣】
make a 【flyer】	【チラシ】を作る
read the 【minutes】	【議事録】を読む
We 【apologize】 for the inconvenience	ご不便をおかけしますことを【お詫びします】。
hold a 【drawing】	【抽選会】を行う
Tex Kato 【star】s in the film	テックス加藤はその映画で 【主演している】。
【stress】the importance of reading	読書の重要性を【強調する】
a hotel in a beautiful 【setting】	美しい【環境】にあるホテル
【domestic】 market	【国内の】市場
make a 【debut】	【デビュー】する
a medical 【device】	医療【機器】
high 【income】	高い【収入】
a research 【facility】	研究【施設】
a research 【institution】	研究【機関】
work 【closely】 with Tex	テックスと【密に】仕事をする
reduce the 【workload】	【仕事量】を減らす
a special 【occasion】	特別な【行事】
consumer 【trend】s	消費者の動向
【disappointing】 sales	【期待外れの】売上
pay a $10 【fine】	10ドルの【罰金】を払う
【endangered】 animals	【絶滅寸前の】動物
A Q&A 【session】	質疑応答の【時間】
Tex is 【capable】 of doing the job.	テックスにはその仕事をする【能力がある】
【exceed】 expectations	期待を超える
The event will 【conclude】 with a concert.	イベントはコンサートで【締めくくられる】予定です。
use 【caution】	【注意】を払う
The machine will 【automatically】shut down.	その機械は【自動的に】電気が切れます。
The meeting will begin 【shortly】	会議は【じきに】始まります。
【guarantee】same day delivery	同日配送を【保証する】
put stronger 【emphasis】 on	～により重点を置く
【remind】 employees about the policy	従業員に規制に関して【再確認する】
a letter of 【recommendation】	【推薦】状
Tex is 【willing】 to work overseas.	テックスは海外で働く【意思がある】。
【award】s ceremony	授賞式
a high 【concentration】 of restaurants	たくさんのレストランが【集まる場所】
without 【permission】	【許可】なしに
a family-owned 【firm】	家族経営の【会社】
The scholarship 【enable】d Tex to study abroad.	奨学金の【おかげで】テックスは海外で勉強【できた】。
checked 【luggage】	預け入れ【手荷物】
Please 【fasten】your seat-belts.	シートベルとを【締めて下さい】。
Can i borrow your 【stapler】?	【ホッチキス】をお借りできるますか。
【submit】a report	レポートを提出する
【obtain】 an official license	公認の免許を【取得する】
【release】 the sales figures	売上数字を【発表する】
【readily】 available	【簡単に】手に入る
【frequent】 bus service	【頻繁な】バスの運行
the 【produce】 section of a supermarket	スーパーの【農産物】売り場
a 【regularly】 updated list	【定期的に】更新されるリスト
【despite】 the snow	雪【にもかかわらず】
display 【merchandise】	【商品】を陳列する
the company 【guidelines】	会社の【指針】
an 【annual】report	【年次】報告書
a【leading】 expert	【一流の】専門家
【proceed】 to the boarding gate	搭乗口に【進む】
【postpone】 a meeting	会議を【延長する】
the data 【indicate】s that	データーが～を【示している】
each 【individual】 in the company	会社の一人一人の【個人】
the 【initial】plan	【当初の】計画
【Admission】 is free for all members	メンバーは【入場】無料です
talk with a 【colleague】	【同僚】と話をする
【secure】 access to the information	情報への【安全な】アクセス
for a 【limited】time	【限られた】時間
flight delays and 【cancellation】s	フライトの遅れと【キャンセル】
【compete】with large companies	大会社と【競う】
any questions【concerning】 the order	注文に【関する】質問
【reject】a proposal	提案を【却下する】
a 【heavily】 used bus route	【非常に頻繁に】使われるバスの路線
have the 【potential】	【(潜在的な)可能性】がある
an 【estimate】 for the project	プロジェクトの【見積り】
an 【in-house】 designer	【社内の】デザイナー
Tex was unable to 【locate】the book.	テックスはその本を【見つける】ことができなかった。
find a 【solution】	【解決策】を見つける
production 【capacity】	生産【能力】
Tex can 【barely】 understand English.	テックスは【かろうじて】英語が理解できる。
the scheduled 【departure】 date	【出発】予定日
a 【brief】 report	【短い】報告書
a three-year 【warranty】	三年【保証】
a cost 【comparison】	コストの【比較】
【contribute】to a team	チームに【貢献する】
a high 【priority】	高い【優先順位】
The committee 【consist】s of five members.	委員会は5人のメンバーで【構成されている】
Call me at 【extension】 4649．	【内線】4649に電話下さい。
Thank you for your 【hospitality】.	【おもてなしに】感謝します。
due to 【mechanical】 trouble	【機械の】トラブルが原因で
The book 【contain】s useful information	その本には役立つ情報が【含まれている】
an 【editor】 at a newspaper	新聞の【編集者】
Tex is not 【athletic】	テックスは【運動好き】ではない。
the 【mayor 】of Text Town	テックス・タウンの【町長】
We were 【impressed】 by his knowledge	我々は彼の知識に【感心した】
name, address, and 【occupation 】	氏名と住所、【職業】
【existing】customers	【従来の】顧客
Applicants must be 【fluent】 in Mandarin	応募者は中国語が【ペラペラで】なければなりません。
permission from a 【supervisor】	【上司の】許可
【focus】 on overseas markets	海外市場に【集中する】
【outstanding】balance	【見支払いの】残高
a large 【conference 】room	大きな【会議】室
a natural 【consequence】	自然な結果
a 【sealed】 container	密封された入れ物
Tex was not 【involved】 with the project	テックスはそのプロジェクトに関わっていなかった
an 【urgent】request	緊急の依頼
a flight to Seattle 【via】 Denver	デンバー経由シアトル行きの便
when entering the 【laboratory】	研究所に入るとき
a previous 【engagement】	前からの約束(先約）
【proudly】 announce	誇らしげに発表する
the 【launch】 of a new product	新商品の発売
a 【significant】 increase in profits	かなりの利益増
reduce costs by a 【substantial】 amount	かなりの額のコストを削減する
the 【overall】 budget	全体の予算
We are 【committed】 to providing quality service	当社は質の高いサービスを提供することに熱心に取り組んでいます。
【Altogether】, 300 people came to the party.	全部で300人がパーティに来場した
【household】 products	家庭用製品
【alter】 the schedule	スケジュールを変更する
【assure】 Tex that	テックスに～を保証する
be directly 【exposed】 to the sun	太陽に直接さらされる
the opening 【remarks】	開会の言葉
The company is 【pursuing】 a new market	その会社は新しい市場を追い求めている
over the past two 【decades】	過去20年間に渡って
Please do not 【hesitate】 to contact us	遠慮することなくご連絡ください
a more 【profitable】 market	より利益になる市場
make 【adjustments】 to the plan	計画を調整する
electronic 【components】	電子部品
【adopt】 a plan	計画を採用する
an 【alternative】 date	代わりの日
a 【mutual】 interest	共通した興味
a normal 【procedure】	通常の手続き
at regular 【intervals】	一定の間隔を置いて(定期的に）
artists and 【craftpeople】	芸術家と職人
a convention 【venue】	会議の会場
a sales 【representative】	営業担当者
by public 【transportation】	公共の交通機関で
【invest】 in a new plant	新工場に投資する
【affordably】 priced items	手ごろに値付けられた商品
research 【findings】	調査でわかったこと
【timely】 announcement	タイミングのよい発表
the most 【promising】 applicant	もっとも有望な候補者
travel 【tips】 about packing	旅行の際の荷作りのコツ
a 【stable】 supply of electricity	電気の安定した供給
a 【steep】 drop in sales	売上の大幅な落ち込み
We are 【confident】 that	我々は～と確信している
We are 【convinced】 that	我々は～と確信している
【retain】a receipt	レシートを保管する
Please find 【enclosed】 by resume	履歴書を同封いたしましたのでご覧ください。
【acquire】 a company	会社を買収する
experience in a 【related】 field	関連した分野での経験
I 【definitely】 need the item	私は絶対にその品物が必要だ
an 【excerpt】 from a speech	スピーチからの抜粋
【distinguish】 between cause and effect	原因と結果を区別する
a 【relatively】 recent trend	比較的最近のトレンド
【thorough】 review	徹底的な検討
take 【measurements】 of a table	テーブルの寸法を測る
under any 【circumstance】	いかなる状況下でも
【overcome】 the difficulties	困難を乗り越える
an 【immense】 amount of money	非常に大きな額のお金
file a 【claim】	申し立てを行う
a 【panel】 of experts	専門家グループ
the bottom 【portion】 of the ticket	チケットとの下の部分
all company 【personnel】	全社員
Telephone service was 【restored】 this morning	通話サービスは今日の午前中に復旧した
【conduct】 a survey	アンケート調査を行う
【assume】 responsibility	職務を引き受ける
produce 【dependable】 cars and trucks	信頼できる車とトラックを生産する
【accurate】 sales figures	正確な売上の数字
I really 【appreciate】 your help	助けていただいて本当に感謝しています。
【primary】 duties	主な任務
Teaching experience is 【desirable】	指導経験があることが望ましい
【deposit】 and balance	頭金と残金
the 【completion】 of the project	プロジェクトの完了
【appropriate】 clothes for a job interview	面接に適した服装
a 【challenging】 task	やりがいのある任務
various 【factors】	さまざまな要因
local 【residents】	地元の住民
【proof】 of purchase	購入の証明
【vote】 against a proposal	提案に反対票を投じる
a rental 【agreement】	賃貸契約書
check 【extremely】 carefully	非常に丁寧にチェックする
Michael's personal 【physician】	マイケルの個人医師
【track】 an order	注文を追跡する
shipment 【status】	配送状況
locally grown 【crops】	地元で育てられた作物
a 【landscaping】 company	造園会社
【severe】 damage	深刻なダメージ
a 【luxury】 sedan	高級セダン車
daily 【output】 of a factory	工場の一日の生産量
a 【remote】 mountain village	人里離れた山村
The problem was 【resolved】	問題は解決された
the new employee 【orientation】	新入社員向け説明会
a 【packet】 of materials	袋入りの資料
a 【spacious】 room	広々とした部屋
a 【modest】 increase in price	小幅の値上げ
【impose】 a fee on customers	顧客に料金を課す
a 【minimum】 of ten years	最低10年
a heated 【debate】	白熱した討論
a regular 【checkup】	定期的な健康診断
the 【reverse】 side	裏側
【organize】 an event	イベントを取りまとめる
find a 【replacement】 for Tex	テックスの後任を見つける
for no 【apparent】 reason	明確な理由なしに
reduce 【inventory】	在庫を減らす
a newly 【renovated】 library	新しく改装された図書館
contact a 【reference】	照会先に連絡を取る
【consistently】 rank among the top 10 universities	常にトップ１０の大学にランクインしている
the highly 【anticipated】 new book	非常に期待されている新刊
a strong 【commitment】 to quality	品質への強い約束
【retail】 stores	小売店
improve 【productivity】	生産性を改善する
Tex has been 【assigned】 the work	テックスはその仕事を任された。
【renew】 a contract	契約を更新する
a successful 【candidate】	合格するような候補者
the original 【quote】	最新の提示価格
reply 【swiftly】	すばやく返答する
find even the smallest 【defects】	小さな欠陥でさえも発見する
an 【economical】 printer	低コストのプリンター
escort visitors to their 【destinations】	目的地まで旅行者に付き添う
【illustrate】 the point	ポイントを説明する
a 【dominant】 position in the market	市場での圧倒的なポジション
The meeting starts 【promptly】 at 1 P.M.	会議は午後１時ちょうどに始まります
【outdated】 TOEIC books	時代遅れのTOEIC本
The weather in Auckland is quite 【agreeable】	オークランドの天気はとても快適です。
Tex 【occasionally】 travels abroad.	テックスは時々海外に出張する。
【inspect】 a building	建物を検査する
a marketing 【strategy】	マーケティング戦略
wear 【protective】 clothing	防護用の服を着用する
【resume】 operations	操業を再開する
A new security system was 【implemented】	新しいセキュリティシステムが実施された
the 【transition】 from student to professional	学生から社会人への移行
【transform】 a supply room into an office	備品室をオフィスに一変させる
【assemble】 the materials	資料を一つにまとめる
【alert】 Tex to the problem	テックスに問題を知らせる
performance 【evaluation】	成績評価
an 【option】 to change the date	日付を変更する選択肢
I have eaten at 【numerous】 local restaurants.	私は数多くの地元のレストレンで食事をしたことがあります
an 【accomplished】 designer	熟練したデザイナー
【deserve】 a promotion	昇進に値する
a dress 【patterned】 with flowers	花の模様が入ったドレス
Street parking is 【prohibited】 in this area.	路上駐車はこの地域では禁止されています
provide 【relief】 to people	人々に安らぎを与える
the company's 【mission】	会社の使命
【restrict】 employees from accessing the Internet	従業員がインターネットにアクセスすることを制限する
The weather is cold, so dress 【accordingly】	気候が寒冷なので、それに応じた服を着てください
a 【pension】 plan	年金計画
some experts 【predict】 that	数名の専門家は～と予想している
Tex was 【eventually】 promoted the CEO.	テックスは最終的にはCEOに昇進した。
an 【innovative】 technology	革新的な技術
the scene of the 【investigation】	調査の現場
【reserve】 the right to cancel an order	注文をキャンセルする権利を保有する
three 【district】 features	３つのはっきり異なる特徴
【register】 for employee training	社員研修に登録する
The facility 【houses】 six laboratories.	その施設には６つの研究所が入っている
【resign】 without notice	予告なしに辞任する
【delicate】negotiations	細心の注意が必要な交渉
【honor】 an employee	社員を称える
a six-piece 【assortment】	６個入りの詰め合わせ
【substitute】 butter for vegetable oil	植物油の代わりにバターを使う
【relocate】 an office	オフィスを移転する
Tex was 【reluctant】 to talk about it.	テックスはそのことについて話したがらなかった
【dispose】 of garbage	ゴミを処分する
work 【independently】 and as a team member	単独でもチームの一員としても働く
The problems all 【stem】 from Tex.	問題はすべてテックスから生じる
【convert】 a warehouse into an office	倉庫をオフィスに改造する
【urge】 Tex to change his mind	テックスに考えるよう強く促す
【enlarge】 a house	家を増築する
It is 【doubtful】 that Tex will succeed	テックスが成功するかは疑問だ
The machine is still 【functional】	その機械はまだちゃんと機能している
【fulfill】 a requirement	必要条件を満たす
【approximately】 two hours	約２時間
corporate 【headquarters】 in New York	ニューヨーク本社
form an 【alliance】	提携関係を築く
【routine】 maintenance work	普段行われているメンテナンス作業
【undertake】 a study	調査を引き受ける
highly 【knowledgeable】 about investments	投資について非常に知識が豊富な
The company 【specializes】 in Web design.	その会社はウェブデザインを専門にしている。
the first 【phase】	第一段階
a construction 【permit】	建設許可証
a 【regional】 sales meeting	地域の営業会議
My driver's license 【expires】 in April.	私の運転免許証は４月に期限が切れます。
the sales 【outlook】	売上見通し
【generous】 contributions to a charity	慈善団体への寛大な寄付
Each room is 【equipped】 with Internet access.	それぞれの部屋にはインターネットが備わっています。
【install】 a new printer	新しいプリンターを設置する
ask for a 【prescription】	処方箋を依頼する
【recipients】 of the prize	賞の受賞者
the new 【recruits】	新入社員
The price includes flights and 【accommodations】	料金には航空運賃と宿泊費が含まれています
obtain a 【grant】	補助金を得る
seat and meal 【preferences】	座席と食事の希望
Sales have been increasing 【steadily】	売り上げは着実に伸びている
【suspend】 production	生産を一時停止する
【consult】 a doctor	医師に相談する
【ensure】 that the products are safe	製品が安全であることを保証する
【tourism】 industry	観光産業
without the written 【consent】	書面での同意なしに
